label,k,seed,n_fail,p_is,p_ref,ess,cv,max_share,n_star_is,n_star_naive,speedup,sensitive_pcs,status
k100_s12,100,12,4,0.009180426459387867,0.028666666666666667,61.446473672064315,0.39074859651585986,0.0004096431578082364,2360.7513980834938,4235.46511627907,1.79411738132084,"[0, 4, 3, 37, 6, 2, 272]",ok
k100_s13,100,13,4,0.06375209740342157,0.028666666666666667,66.07004935554889,0.38872927606801233,0.00044046699521105856,6811.035522235743,4235.46511627907,0.6218533294168999,"[142, 11, 56, 119, 66, 222, 126]",ok
k100_s14,100,14,1,,,,,,,,,,too_few_failures
k100_s15,100,15,2,0.029992431277953497,0.028666666666666667,55.075910139220305,0.23441403505008654,0.00036717273426146877,7058.697400213923,4235.46511627907,0.6000349464124511,"[5, 195, 225, 3, 14, 74, 91]",ok
k100_s16,100,16,1,,,,,,,,,,too_few_failures
k100_s17,100,17,0,,,,,,,,,,too_few_failures
k100_s18,100,18,0,,,,,,,,,,too_few_failures
k100_s19,100,19,5,0.04807386925171896,0.028666666666666667,57.84905025040933,0.3059661587469213,0.0003856603349967513,3682.0294922121693,4235.46511627907,1.1503072219376482,"[0, 3, 5, 4, 102, 7, 100]",ok
k100_s20,100,20,2,0.035007891831027003,0.028666666666666667,54.891369259867204,0.22932943624626514,0.0003659424617324308,5770.575038594035,4235.46511627907,0.7339762654418258,"[0, 123, 99, 72, 43, 180, 59]",ok
k100_s21,100,21,2,0.013520635208957127,0.028666666666666667,63.94943049682726,0.40870210942328855,0.0004263295366454548,3081.1598613755464,4235.46511627907,1.3746333545927076,"[0, 4, 238, 207, 100, 226, 194]",ok
k100_s22,100,22,3,0.01866203603125576,0.028666666666666667,61.82220544073888,0.41342097937590183,0.0004121480344023355,1820.5602375518802,4235.46511627907,2.326462497046804,"[0, 3, 128, 51, 140, 5, 96]",ok
k100_s23,100,23,1,,,,,,,,,,too_few_failures
k100_s24,100,24,1,,,,,,,,,,too_few_failures
k100_s25,100,25,2,0.015852456641026743,0.028666666666666667,56.41366672698943,0.28172398570915136,0.0003760911115128725,3638.9113504488228,4235.46511627907,1.1639374275376806,"[3, 5, 4, 0, 2, 261, 269]",ok
k300_s1,300,1,9,0.03190339045133444,0.028666666666666667,181.42282618741797,0.3635340884391674,0.00040316183597203495,1676.1662856240087,4235.46511627907,2.5268764517013755,"[0, 3, 6, 4, 2, 161, 8]",ok
k300_s2,300,2,8,0.016566850246942332,0.028666666666666667,173.1889842498815,0.3107908986907835,0.000384864409444181,1781.5875032184797,4235.46511627907,2.3773545271436864,"[0, 4, 1, 8, 6, 2, 196]",ok
k300_s3,300,3,7,0.03342581826462532,0.028666666666666667,178.46171659300256,0.3355866274446274,0.0003965815924193116,2478.661224355043,4235.46511627907,1.7087712813118112,"[3, 2, 4, 0, 8, 220, 58]",ok
k300_s4,300,4,6,0.051855718686123826,0.028666666666666667,173.74952399119888,0.3105826867120921,0.0003861100533111791,3349.3461112378927,4235.46511627907,1.2645647764105437,"[0, 3, 195, 2, 118, 5, 67]",ok
k300_s5,300,5,11,0.019840401713930502,0.028666666666666667,177.835542279785,0.3401390690100804,0.00039519009395409403,2801.6084778510435,4235.46511627907,1.5117976511578295,"[0, 3, 6, 7, 5, 148, 25]",ok
k300_s6,300,6,6,0.019603143310023587,0.028666666666666667,179.7644472521795,0.3482322624660765,0.00039947654944873153,2534.7329767012193,4235.46511627907,1.670970928776583,"[0, 3, 4, 225, 126, 8, 2]",ok
k300_s7,300,7,9,0.0246843156025055,0.028666666666666667,175.55657767882943,0.3450989674827247,0.0003901257281751722,2649.206245695447,4235.46511627907,1.5987676018660495,"[0, 6, 68, 7, 3, 8, 48]",ok
k300_s8,300,8,7,0.025375492330349855,0.028666666666666667,181.44083193326279,0.3526132459122149,0.0004032018487405828,2925.7828359254704,4235.46511627907,1.4476348224728466,"[3, 2, 6, 5, 4, 107, 7]",ok
k300_s9,300,9,7,0.03485473055394165,0.028666666666666667,169.386692032942,0.3046293581519128,0.00037641487118431055,1742.5665853897672,4235.46511627907,2.430590114484323,"[8, 0, 6, 1, 3, 5, 72]",ok
k300_s10,300,10,6,0.03403000014593271,0.028666666666666667,174.91005638284207,0.3247204454885585,0.0003886890141840934,2181.4744145988548,4235.46511627907,1.941560757226629,"[6, 0, 3, 2, 4, 7, 81]",ok
k300_s11,300,11,8,0.04106850456359639,0.028666666666666667,175.3399632775519,0.3394680606616047,0.0003896443628390042,1992.7100162129275,4235.46511627907,2.125479915200314,"[0, 4, 5, 3, 7, 175, 6]",ok
k300_s12,300,12,13,0.010686986478747421,0.028666666666666667,188.66197446875395,0.37687280456159533,0.00041924883212596996,3101.7826553976715,4235.46511627907,1.3654938423582266,"[1, 4, 0, 46, 203, 173, 75]",ok
